world_cup_year,match_date,stage,team_rank,team_goals,opponent_goals,opponent_code,opponent,opponent_rank,opponent_confederation,result,team_shootout_goals,opponent_shootout_goals,extra_time,status,ranking_date,ranking_source_url,match_source_url
2002,2002-06-01,Group stage,24,1,2,DEN,Denmark,20,UEFA,loss,,,False,completed,2002-05-15,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/koreajapan2002
2002,2002-06-06,Group stage,24,0,0,FRA,France,1,UEFA,draw,,,False,completed,2002-05-15,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/koreajapan2002
2002,2002-06-11,Group stage,24,3,3,SEN,Senegal,42,CAF,draw,,,False,completed,2002-05-15,https://web.archive.org/web/20151026211858/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=97/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/koreajapan2002
2010,2010-06-11,Group stage,16,0,0,FRA,France,9,UEFA,draw,,,False,completed,2010-05-26,https://web.archive.org/web/20191006015211/https://www.fifa.com/fifa-world-ranking/ranking-table/men/rank/id9054/,https://www.fifa.com/en/tournaments/mens/worldcup/southafrica2010
2010,2010-06-16,Group stage,16,3,0,RSA,South Africa,83,CAF,win,,,False,completed,2010-05-26,https://web.archive.org/web/20191006015211/https://www.fifa.com/fifa-world-ranking/ranking-table/men/rank/id9054/,https://www.fifa.com/en/tournaments/mens/worldcup/southafrica2010
2010,2010-06-22,Group stage,16,1,0,MEX,Mexico,17,CONCACAF,win,,,False,completed,2010-05-26,https://web.archive.org/web/20191006015211/https://www.fifa.com/fifa-world-ranking/ranking-table/men/rank/id9054/,https://www.fifa.com/en/tournaments/mens/worldcup/southafrica2010
2010,2010-06-26,Round of 16,16,2,1,KOR,Korea Republic,47,AFC,win,,,False,completed,2010-05-26,https://web.archive.org/web/20191006015211/https://www.fifa.com/fifa-world-ranking/ranking-table/men/rank/id9054/,https://www.fifa.com/en/tournaments/mens/worldcup/southafrica2010
2010,2010-07-02,Quarter-final,16,1,1,GHA,Ghana,32,CAF,win,4,2,True,completed,2010-05-26,https://web.archive.org/web/20191006015211/https://www.fifa.com/fifa-world-ranking/ranking-table/men/rank/id9054/,https://www.fifa.com/en/tournaments/mens/worldcup/southafrica2010
2010,2010-07-06,Semi-final,16,2,3,NED,Netherlands,4,UEFA,loss,,,False,completed,2010-05-26,https://web.archive.org/web/20191006015211/https://www.fifa.com/fifa-world-ranking/ranking-table/men/rank/id9054/,https://www.fifa.com/en/tournaments/mens/worldcup/southafrica2010
2010,2010-07-10,Third-place play-off,16,2,3,GER,Germany,6,UEFA,loss,,,False,completed,2010-05-26,https://web.archive.org/web/20191006015211/https://www.fifa.com/fifa-world-ranking/ranking-table/men/rank/id9054/,https://www.fifa.com/en/tournaments/mens/worldcup/southafrica2010
2014,2014-06-14,Group stage,7,1,3,CRC,Costa Rica,28,CONCACAF,loss,,,False,completed,2014-06-05,https://web.archive.org/web/20141107005059/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=239/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/brazil2014
2014,2014-06-19,Group stage,7,2,1,ENG,England,10,UEFA,win,,,False,completed,2014-06-05,https://web.archive.org/web/20141107005059/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=239/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/brazil2014
2014,2014-06-24,Group stage,7,1,0,ITA,Italy,9,UEFA,win,,,False,completed,2014-06-05,https://web.archive.org/web/20141107005059/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=239/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/brazil2014
2014,2014-06-28,Round of 16,7,0,2,COL,Colombia,8,CONMEBOL,loss,,,False,completed,2014-06-05,https://web.archive.org/web/20141107005059/http://www.fifa.com/fifa-world-ranking/ranking-table/men/rank=239/index.html,https://www.fifa.com/en/tournaments/mens/worldcup/brazil2014
2018,2018-06-15,Group stage,14,1,0,EGY,Egypt,45,CAF,win,,,False,completed,2018-06-07,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/calculating-russia-2018-s-toughest-groups,https://www.fifa.com/en/tournaments/mens/worldcup/russia2018
2018,2018-06-20,Group stage,14,1,0,KSA,Saudi Arabia,67,AFC,win,,,False,completed,2018-06-07,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/calculating-russia-2018-s-toughest-groups,https://www.fifa.com/en/tournaments/mens/worldcup/russia2018
2018,2018-06-25,Group stage,14,3,0,RUS,Russia,70,UEFA,win,,,False,completed,2018-06-07,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/calculating-russia-2018-s-toughest-groups,https://www.fifa.com/en/tournaments/mens/worldcup/russia2018
2018,2018-06-30,Round of 16,14,2,1,POR,Portugal,4,UEFA,win,,,False,completed,2018-06-07,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/calculating-russia-2018-s-toughest-groups,https://www.fifa.com/en/tournaments/mens/worldcup/russia2018
2018,2018-07-06,Quarter-final,14,0,2,FRA,France,7,UEFA,loss,,,False,completed,2018-06-07,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/calculating-russia-2018-s-toughest-groups,https://www.fifa.com/en/tournaments/mens/worldcup/russia2018
2022,2022-11-24,Group stage,14,0,0,KOR,Korea Republic,28,AFC,draw,,,False,completed,2022-10-06,https://www.fifa.com/fifa-world-ranking/mens-ranking?dateId=id13792,https://www.fifa.com/en/tournaments/mens/worldcup/qatar2022
2022,2022-11-28,Group stage,14,0,2,POR,Portugal,9,UEFA,loss,,,False,completed,2022-10-06,https://www.fifa.com/fifa-world-ranking/mens-ranking?dateId=id13792,https://www.fifa.com/en/tournaments/mens/worldcup/qatar2022
2022,2022-12-02,Group stage,14,2,0,GHA,Ghana,61,CAF,win,,,False,completed,2022-10-06,https://www.fifa.com/fifa-world-ranking/mens-ranking?dateId=id13792,https://www.fifa.com/en/tournaments/mens/worldcup/qatar2022
2026,2026-06-15,Group stage,16,1,1,KSA,Saudi Arabia,61,AFC,draw,,,False,completed,2026-06-11,https://inside.fifa.com/fifa-world-ranking/men?dateId=id11944,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026
2026,2026-06-21,Group stage,16,2,2,CPV,Cabo Verde,67,CAF,draw,,,False,completed,2026-06-11,https://inside.fifa.com/fifa-world-ranking/men?dateId=id11944,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026
2026,2026-06-26,Group stage,16,0,1,ESP,Spain,2,UEFA,loss,,,False,completed,2026-06-11,https://inside.fifa.com/fifa-world-ranking/men?dateId=id11944,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026
