world_cup_year,ranking_date,fifa_code,team,confederation,fifa_rank,source_revision_id,source_url,ranking_source_url
1994,1994-06-14,GER,Germany,UEFA,1,1364407895,https://en.wikipedia.org/w/index.php?title=1994_FIFA_World_Cup&oldid=1364407895,https://www.fifa.com/fifa-world-ranking/men?dateId=id11
1994,1994-06-14,NED,Netherlands,UEFA,2,1364407895,https://en.wikipedia.org/w/index.php?title=1994_FIFA_World_Cup&oldid=1364407895,https://www.fifa.com/fifa-world-ranking/men?dateId=id11
1994,1994-06-14,BRA,Brazil,CONMEBOL,3,1364407895,https://en.wikipedia.org/w/index.php?title=1994_FIFA_World_Cup&oldid=1364407895,https://www.fifa.com/fifa-world-ranking/men?dateId=id11
1994,1994-06-14,ITA,Italy,UEFA,4,1364407895,https://en.wikipedia.org/w/index.php?title=1994_FIFA_World_Cup&oldid=1364407895,https://www.fifa.com/fifa-world-ranking/men?dateId=id11
1994,1994-06-14,ESP,Spain,UEFA,5,1364407895,https://en.wikipedia.org/w/index.php?title=1994_FIFA_World_Cup&oldid=1364407895,https://www.fifa.com/fifa-world-ranking/men?dateId=id11
1994,1994-06-14,NOR,Norway,UEFA,6,1364407895,https://en.wikipedia.org/w/index.php?title=1994_FIFA_World_Cup&oldid=1364407895,https://www.fifa.com/fifa-world-ranking/men?dateId=id11
1994,1994-06-14,ROU,Romania,UEFA,7,1364407895,https://en.wikipedia.org/w/index.php?title=1994_FIFA_World_Cup&oldid=1364407895,https://www.fifa.com/fifa-world-ranking/men?dateId=id11
1994,1994-06-14,ARG,Argentina,CONMEBOL,8,1364407895,https://en.wikipedia.org/w/index.php?title=1994_FIFA_World_Cup&oldid=1364407895,https://www.fifa.com/fifa-world-ranking/men?dateId=id11
1994,1994-06-14,SWE,Sweden,UEFA,10,1364407895,https://en.wikipedia.org/w/index.php?title=1994_FIFA_World_Cup&oldid=1364407895,https://www.fifa.com/fifa-world-ranking/men?dateId=id11
1994,1994-06-14,NGA,Nigeria,CAF,11,1364407895,https://en.wikipedia.org/w/index.php?title=1994_FIFA_World_Cup&oldid=1364407895,https://www.fifa.com/fifa-world-ranking/men?dateId=id11
1994,1994-06-14,SUI,Switzerland,UEFA,12,1364407895,https://en.wikipedia.org/w/index.php?title=1994_FIFA_World_Cup&oldid=1364407895,https://www.fifa.com/fifa-world-ranking/men?dateId=id11
1994,1994-06-14,IRL,Republic of Ireland,UEFA,14,1364407895,https://en.wikipedia.org/w/index.php?title=1994_FIFA_World_Cup&oldid=1364407895,https://www.fifa.com/fifa-world-ranking/men?dateId=id11
1994,1994-06-14,MEX,Mexico,CONCACAF,16,1364407895,https://en.wikipedia.org/w/index.php?title=1994_FIFA_World_Cup&oldid=1364407895,https://www.fifa.com/fifa-world-ranking/men?dateId=id11
1994,1994-06-14,COL,Colombia,CONMEBOL,17,1364407895,https://en.wikipedia.org/w/index.php?title=1994_FIFA_World_Cup&oldid=1364407895,https://www.fifa.com/fifa-world-ranking/men?dateId=id11
1994,1994-06-14,RUS,Russia,UEFA,19,1364407895,https://en.wikipedia.org/w/index.php?title=1994_FIFA_World_Cup&oldid=1364407895,https://www.fifa.com/fifa-world-ranking/men?dateId=id11
1994,1994-06-14,USA,USA,CONCACAF,23,1364407895,https://en.wikipedia.org/w/index.php?title=1994_FIFA_World_Cup&oldid=1364407895,https://www.fifa.com/fifa-world-ranking/men?dateId=id11
1994,1994-06-14,CMR,Cameroon,CAF,24,1364407895,https://en.wikipedia.org/w/index.php?title=1994_FIFA_World_Cup&oldid=1364407895,https://www.fifa.com/fifa-world-ranking/men?dateId=id11
1994,1994-06-14,BEL,Belgium,UEFA,27,1364407895,https://en.wikipedia.org/w/index.php?title=1994_FIFA_World_Cup&oldid=1364407895,https://www.fifa.com/fifa-world-ranking/men?dateId=id11
1994,1994-06-14,MAR,Morocco,CAF,28,1364407895,https://en.wikipedia.org/w/index.php?title=1994_FIFA_World_Cup&oldid=1364407895,https://www.fifa.com/fifa-world-ranking/men?dateId=id11
1994,1994-06-14,BUL,Bulgaria,UEFA,29,1364407895,https://en.wikipedia.org/w/index.php?title=1994_FIFA_World_Cup&oldid=1364407895,https://www.fifa.com/fifa-world-ranking/men?dateId=id11
1994,1994-06-14,GRE,Greece,UEFA,31,1364407895,https://en.wikipedia.org/w/index.php?title=1994_FIFA_World_Cup&oldid=1364407895,https://www.fifa.com/fifa-world-ranking/men?dateId=id11
1994,1994-06-14,KSA,Saudi Arabia,AFC,34,1364407895,https://en.wikipedia.org/w/index.php?title=1994_FIFA_World_Cup&oldid=1364407895,https://www.fifa.com/fifa-world-ranking/men?dateId=id11
